Группа 4;Тип оборудования
Кат4_2175;Д
Кат4_438;В
Кат4_861;В
Кат4_4308;В
Кат4_826;Д
Кат4_1416;В
Кат4_1633;В
Кат4_2696;Д
Кат4_1777;Д
Кат4_1564;Д
Кат4_539;В
Кат4_3916;Д
Кат4_2211;Д
Кат4_1396;В
Кат4_2493;Д
Кат4_1816;Д
Кат4_2732;Д
Кат4_1001;ДЗ
Кат4_3113;Д
Кат4_2627;Д
Кат4_1399;Д
Кат4_1526;Д
Кат4_2109;Д
Кат4_1291;Д
Кат4_2975;Д
Кат4_527;Д
Кат4_2085;В
Кат4_3141;А
Кат4_1742;Д
Кат4_659;Д
Кат4_2630;Д
Кат4_1544;Д
Кат4_289;В
Кат4_705;В
Кат4_1092;В
Кат4_1510;В
Кат4_1588;В
Кат4_270;В
Кат4_463;В
Кат4_511;В
Кат4_564;В
Кат4_1010;В
Кат4_1033;В
Кат4_1150;В
Кат4_1184;В
Кат4_1358;В
Кат4_1438;В
Кат4_1552;В
Кат4_1572;В
Кат4_1623;В
Кат4_1630;В
Кат4_1710;В
Кат4_1746;В
Кат4_1763;В
Кат4_1766;В
Кат4_1877;В
Кат4_189;В
Кат4_210;В
Кат4_2150;В
Кат4_216;В
Кат4_2290;В
Кат4_2340;В
Кат4_2447;В
Кат4_2589;В
Кат4_26;В
Кат4_2647;В
Кат4_2808;В
Кат4_3012;В
Кат4_3110;В
Кат4_3233;В
Кат4_3478;В
Кат4_3890;В
Кат4_406;В
Кат4_437;В
Кат4_4429;В
Кат4_473;В
Кат4_503;В
Кат4_583;В
Кат4_643;В
Кат4_699;В
Кат4_712;В
Кат4_832;В
Кат4_912;В
Кат4_914;В
Кат4_925;В
Кат4_946;В
Кат4_969;В
Кат4_998;В
Кат4_2359;В
Кат4_2814;В
Кат4_670;В
Кат4_124;В
Кат4_2420;В
Кат4_2662;В
Кат4_3455;В
Кат4_2590;В
Кат4_1427;А
Кат4_2063;А
Кат4_2553;А
Кат4_3176;А
Кат4_3939;А
Кат4_621;А
Кат4_708;А
Кат4_1053;А
Кат4_1054;А
Кат4_1071;А
Кат4_114;А
Кат4_1170;А
Кат4_1181;А
Кат4_1191;А
Кат4_1197;А
Кат4_1262;А
Кат4_1312;А
Кат4_1402;А
Кат4_1418;А
Кат4_1465;А
Кат4_1532;А
Кат4_1575;А
Кат4_1597;А
Кат4_1639;А
Кат4_1743;А
Кат4_1771;А
Кат4_1844;А
Кат4_1911;А
Кат4_198;А
Кат4_2032;А
Кат4_2050;А
Кат4_2104;А
Кат4_2180;А
Кат4_2380;А
Кат4_2445;А
Кат4_2462;А
Кат4_254;А
Кат4_2791;А
Кат4_3382;А
Кат4_3389;А
Кат4_565;А
Кат4_64;А
Кат4_701;А
Кат4_889;А
Кат4_924;А
Кат4_990;А
Кат4_2350;А
Кат4_3291;А
Кат4_3810;А
Кат4_4493;А
Кат4_624;А
Кат4_888;А
Кат4_3872;А
Кат4_2330;В
Кат4_651;В
Кат4_1823;А
Кат4_3016;А
Кат4_2998;А
Кат4_3969;А
Кат4_2174;ДЗ
Кат4_3232;ДЗ
Кат4_987;Д
Кат4_1056;ДЗ
Кат4_1073;ДЗ
Кат4_1166;ДЗ
Кат4_1193;ДЗ
Кат4_1206;ДЗ
Кат4_1243;ДЗ
Кат4_1277;ДЗ
Кат4_1298;ДЗ
Кат4_1407;ДЗ
Кат4_1440;ДЗ
Кат4_146;ДЗ
Кат4_1589;ДЗ
Кат4_1624;ДЗ
Кат4_170;ДЗ
Кат4_1731;ДЗ
Кат4_1759;ДЗ
Кат4_1782;ДЗ
Кат4_1805;ДЗ
Кат4_1967;ДЗ
Кат4_2028;ДЗ
Кат4_2080;ДЗ
Кат4_2302;ДЗ
Кат4_231;ДЗ
Кат4_2364;ДЗ
Кат4_2378;ДЗ
Кат4_2479;ДЗ
Кат4_2498;ДЗ
Кат4_250;ДЗ
Кат4_2862;ДЗ
Кат4_35;ДЗ
Кат4_441;ДЗ
Кат4_505;ДЗ
Кат4_513;ДЗ
Кат4_573;ДЗ
Кат4_677;ДЗ
Кат4_700;ДЗ
Кат4_755;ДЗ
Кат4_818;ДЗ
Кат4_1091;ДЗ
Кат4_1104;ДЗ
Кат4_1449;ДЗ
Кат4_163;Д
Кат4_1657;ДЗ
Кат4_1876;Д
Кат4_2088;ДЗ
Кат4_2450;ДЗ
Кат4_2661;ДЗ
Кат4_313;Д
Кат4_3169;ДЗ
Кат4_455;ДЗ
Кат4_528;Д
Кат4_1248;ДЗ
Кат4_1304;ДЗ
Кат4_1395;ДЗ
Кат4_1398;ДЗ
Кат4_145;ДЗ
Кат4_1458;Д
Кат4_190;ДЗ
Кат4_267;ДЗ
Кат4_284;ДЗ
Кат4_2950;ДЗ
Кат4_3088;ДЗ
Кат4_317;ДЗ
Кат4_341;ДЗ
Кат4_42;ДЗ
Кат4_443;Д
Кат4_727;ДЗ
Кат4_83;Д
Кат4_868;ДЗ
Кат4_876;ДЗ
Кат4_1103;ДЗ
Кат4_1143;ДЗ
Кат4_121;ДЗ
Кат4_188;ДЗ
Кат4_1931;ДЗ
Кат4_312;ДЗ
Кат4_3174;ДЗ
Кат4_334;ДЗ
Кат4_3607;ДЗ
Кат4_554;ДЗ
Кат4_586;ДЗ
Кат4_612;ДЗ
Кат4_1368;ДЗ
Кат4_1846;ДЗ
Кат4_815;ДЗ
Кат4_1000;ДЗ
Кат4_1034;ДЗ
Кат4_1042;Д
Кат4_1112;ДЗ
Кат4_1152;Д
Кат4_1308;Д
Кат4_1350;ДЗ
Кат4_1376;ДЗ
Кат4_140;Д
Кат4_1405;ДЗ
Кат4_1428;Д
Кат4_1450;ДЗ
Кат4_1549;ДЗ
Кат4_1598;Д
Кат4_1640;ДЗ
Кат4_174;ДЗ
Кат4_1795;ДЗ
Кат4_1842;ДЗ
Кат4_1850;ДЗ
Кат4_1915;ДЗ
Кат4_2084;Д
Кат4_2184;ДЗ
Кат4_22;ДЗ
Кат4_224;Д
Кат4_2475;ДЗ
Кат4_2512;ДЗ
Кат4_2537;ДЗ
Кат4_2566;ДЗ
Кат4_275;Д
Кат4_2854;ДЗ
Кат4_292;ДЗ
Кат4_2941;ДЗ
Кат4_3;Д
Кат4_302;Д
Кат4_308;Д
Кат4_3419;ДЗ
Кат4_356;Д
Кат4_373;ДЗ
Кат4_3946;ДЗ
Кат4_4051;ДЗ
Кат4_4555;ДЗ
Кат4_459;Д
Кат4_477;Д
Кат4_544;Д
Кат4_574;ДЗ
Кат4_58;Д
Кат4_648;ДЗ
Кат4_68;ДЗ
Кат4_698;ДЗ
Кат4_734;Д
Кат4_770;ДЗ
Кат4_790;ДЗ
Кат4_805;Д
Кат4_937;ДЗ
Кат4_1146;ДЗ
Кат4_219;ДЗ
Кат4_613;ДЗ
Кат4_3487;ДЗ
Кат4_1305;ДЗ
Кат4_1016;Д
Кат4_1028;Д
Кат4_1075;Д
Кат4_1791;Д
Кат4_200;Д
Кат4_253;Д
Кат4_729;Д
Кат4_830;Д
Кат4_1081;Д
Кат4_1125;Д
Кат4_175;Д
Кат4_191;Д
Кат4_245;Д
Кат4_255;Д
Кат4_260;Д
Кат4_27;Д
Кат4_328;Д
Кат4_375;Д
Кат4_376;Д
Кат4_472;Д
Кат4_507;Д
Кат4_542;Д
Кат4_56;Д
Кат4_562;Д
Кат4_67;Д
Кат4_718;Д
Кат4_81;Д
Кат4_820;Д
Кат4_86;Д
Кат4_885;Д
Кат4_910;Д
Кат4_108;Д
Кат4_17;Д
Кат4_2908;Д
Кат4_382;Д
Кат4_446;Д
Кат4_736;Д
Кат4_802;Д
Кат4_91;Д
Кат4_931;Д
Кат4_966;Д
Кат4_21;Д
Кат4_272;Д
Кат4_31;Д
